,Ticker,Company,Shares,LastPrice,Value,GainLoss$,GainLoss%,CostBasis,Account,TrailingStop%
0,SPAXX,SPAXX (Money Market),,,27694.93,0,0,,Qualified Plan,
1,NVDA,NVIDIA CORPORATION COM,295,202.49,59734.55,7605.31,14.58,52129.24,Qualified Plan,
2,SBH,SALLY BEAUTY HOLDINGS INC,300,15.11,4533,558,14.03,3975,Qualified Plan,
3,IBKR,INTERACTIVE BROKERS GROUP INC,100,70.36,7036,736,11.68,6300,Qualified Plan,
4,XPER,XPERI INC,750,6.72,5040,352.5,7.52,4687.5,Qualified Plan,
5,CNQ,CANADIAN NATURAL RESOURCES LTD,218,32.02,6980.36,414.2,6.3,6566.16,Qualified Plan,
6,AMZN,AMAZON.COM INC,48,244.22,11722.56,634.56,5.72,11088,Qualified Plan,
7,KE,KIMBALL ELECTRONICS INC,250,29.08,7268.75,338.75,4.88,6930,Qualified Plan,
8,INVA,INNOVIVA INC,300,18.2,5460,207,3.94,5253,Qualified Plan,
9,IPG,INTERPUBLIC GROUP COS INC,250,25.66,6415,165,2.64,6250,Qualified Plan,
10,AU,ANGLOGOLD ASHANTI PLC,100,68,6800,-50,-0.73,6850,Qualified Plan,
11,ALL,ALLSTATE CORP,25,191.52,4788,-115,-2.35,4903,Qualified Plan,
12,DINO,HF SINCLAIR CORP,131,51.6,6759.6,-337.98,-4.77,7097.58,Qualified Plan,
13,MRMD,MARIMED INC,15858,0.12,1934.67,-259.33,-11.82,2194,Qualified Plan,
